logLD50,sigma,n_obs,Response,Response_Unit,Endpoint,smiles,LD50_class
3.40874860618424,0.24791934419809,3,1600,mg/kg,LD50,C=CC1CC=CCC1,2
3.73878055848437,0.001,1,5480,mg/kg,LD50,C=CC=C,3
1.54282364414843,0.497344458159515,8,46,mg/kg,LD50,C=CC=O,0
3.74350976472843,0.001,1,5540,mg/kg,LD50,C=CCc1ccccc1,3
3.69897000433602,1.001,1,5000,mg/kg,LD50,C=CCCCCCCCCC=O,2
2.90308998699194,0.001,1,800,mg/kg,LD50,C=CCN(CC=C)N=O,2
2.28970886043663,0.24149083776645,2,112,mg/kg,LD50,C=CCN=C=S,1
2.76192783842053,0.001,1,578,mg/kg,LD50,C=CCNCC=C,2
2.94987770403688,0.408096144272172,7,1700,mg/kg,LD50,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2
3.38021124171161,0.001,1,2400,mg/kg,LD50,C=CCOC(=O)c1ccc(C(=O)OCC=C)c(C(=O)OCC=C)c1,2
3.18184358794477,0.001,1,1520,mg/kg,LD50,C=CCOC(=O)C=Cc1ccccc1,2
2.20411998265593,0.001,1,160,mg/kg,LD50,C=CCOC(=O)CC#N,1
2.76715586608218,0.001,1,585,mg/kg,LD50,C=CCOC(=O)CCC1CCCCC1,2
3.60205999132796,1.001,1,4000,mg/kg,LD50,C=CCOC(=O)Nc1nc(N2CC=CCC2)cc2nc(=O)on12,2
2.62425146486473,0.410961196868728,6,600,mg/kg,LD50,C=CCOC(=O)OCCOCCOC(=O)OCC=C,2
2.8767949762007,0.0811946024332796,3,590,mg/kg,LD50,C=CCOc1nc(OCC=C)nc(OCC=C)n1,2
3.30749603791321,0.001,1,2030,mg/kg,LD50,C=CCOC1=NS(=O)(=O)c2ccccc21,2
2.74036268949424,0.001,1,550,mg/kg,LD50,C=CCOC=C,2
2.09342168516224,0.001,1,124,mg/kg,LD50,C=CCOC=O,1
2.50514997831991,0.001,1,320,mg/kg,LD50,C=CCOCC=C,1
2.25042000230889,0.001,1,178,mg/kg,LD50,C=CCOP(OCC=C)OCC=C,1
2.04139268515823,0.001,1,110,mg/kg,LD50,C=CCSC1=NCCS1,1
2.41497334797082,0.001,1,260,mg/kg,LD50,C=CCSSCC=C,1
3.06069784035361,0.51198806361969,5,1000,mg/kg,LD50,C=CNC=O,2
3.80617997398389,0.001,1,6400,mg/kg,LD50,C=COC(=O)CCCCC(=O)OC=C,3
3.38738982633873,0.001,1,2440,mg/kg,LD50,C=COCCOCC1CO1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,C=COCCOCCOC(=O)C=C,2
1.50514997831991,0.001,1,32,mg/kg,LD50,C=CS(=O)(=O)C=C,0
1.69897000433602,0.001,1,50,mg/kg,LD50,C=CS(=O)(=O)COCS(=O)(=O)C=C,0
2.23044892137827,0.001,1,170,mg/kg,LD50,C=CSC=C,1
2.82172633824309,0.952912757854789,8,100,mg/kg,LD50,C=O,1
2.56229286445647,0.001,1,365,mg/kg,LD50,C=S,1
1.07918124604762,0.001,1,12,mg/kg,LD50,CC#CCC(C)[C@H](O)C=C[C@@H]1[C@H]2c3cccc(CCCC(=O)O)c3O[C@H]2C[C@H]1O,0
3.54456409749604,0.53120564129026,11,5244,mg/kg,LD50,CC#N,3
1.69897000433602,0.946407739291894,3,25,mg/kg,LD50,C=C(C)C#N,0
3.25527250510331,0.001,1,1800,mg/kg,LD50,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2
3.04532297878666,0.001,1,1110,mg/kg,LD50,C=C(C)C(=O)Nc1ccc(O)cc1,2
3.67512400916708,0.8750940135031,2,11200,mg/kg,LD50,C=C(C)C(=O)O,3
2.63346845557959,0.38207287750175,3,430,mg/kg,LD50,C=CCOC(=O)C(=C)C,1
3.39794000867204,1.170432667522,3,5000,mg/kg,LD50,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2
3.69897000433602,1.001,1,5000,mg/kg,LD50,C=C(C)C(=O)OCCc1ccccc1,2
1.00285692606112,0.001,1,10.066,mg/kg,LD50,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,0
2.30102999566398,0.001,1,200,mg/kg,LD50,C=C(C)C(=O)OCCCl,1
4.0477809247412,0.001,1,11163,mg/kg,LD50,C=C(C)C(=O)OCCN(CCOC(=O)C(=C)C)CCOC(=O)C(=C)C,3
3.14356895820219,0.165097867755715,4,1814,mg/kg,LD50,C=C(C)C(=O)OCCN=C=O,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,C=C(C)C(=O)OCCOC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCOC(=O)C(=C)C)cc2)cc1,2
3.77378644498119,0.001,1,5940,mg/kg,LD50,C=COCCOC(=O)C(=C)C,3
4.03490907336775,0.705865079547792,3,10837,mg/kg,LD50,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,3
3.90036712865647,0.001,1,7950,mg/kg,LD50,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,3
2.25527250510331,0.001,1,180,mg/kg,LD50,C=C(C)C(C)=O,1
3.23857474147179,0.25895672009508,4,1938,mg/kg,LD50,C=C(C)C(N)=O,2
3.12057393120585,0.135981346919485,3,2224,mg/kg,LD50,C=C(C)C(=O)O,2
3.49136169383427,0.001,1,3100,mg/kg,LD50,C=C(C)c1cccc(C(C)(C)N=C=O)c1,2
3.69897000433602,1.001,1,5000,mg/kg,LD50,C=C(C)c1cccc(C(=C)C)c1,2
3.64345267648619,0.001,1,4400,mg/kg,LD50,C=C(C)c1ccc(C(C)(C)N=C=O)cc1,2
